0;1;2;3;4;5;6;7;8;9
Campur;Sisa 1 kamar;Kost Singgahsini Kemang 6 Tipe A Mampang Prapatan Jakarta Selatan;Kecamatan Mampang Prapatan;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;4.8;Diskon 150rb;Rp2.825.000;Rp2.675.000;(Bulan pertama)
Kos Andalan;Campur;Kost Senopati SCBD 2 Kebayoran Baru Jakarta Selatan;Kebayoran Baru;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;4.1;Rp1.800.000;/bulan;;
Campur;Sisa 2 kamar;Kost Apik Pondok Jaya VIII Tipe C Mampang Prapatan Jakarta Selatan;Mampang Prapatan;WiFi ·Kloset Duduk ·Kasur ·Akses 24 Jam;4.5;Diskon 200rb sewa 3 bulan;Rp1.325.000;/bulan;
Campur;Sisa 1 kamar;Kost Singgahsini Kemang Timur Syariah Tipe B Mampang Prapatan Jakarta Selatan;Kecamatan Mampang Prapatan;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;4.6;Diskon 200rb sewa 3 bulan;Rp1.925.000;/bulan;
Putri;Sisa 2 kamar;Kost Apik Evy Kalibata Utara Tipe A Pancoran Jakarta Selatan;Pancoran;K. Mandi Dalam ·WiFi ·Kasur ·Akses 24 Jam;4.9;Diskon 200rb sewa 3 bulan;Rp1.375.000;/bulan;
Campur;Sisa 1 kamar;Kost Singgahsini Richie Bangka Barat IV Tipe A Mampang Prapatan Jakarta Selatan;Mampang Prapatan;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;4.9;Diskon 250rb sewa 3 bulan;Rp2.225.000;/bulan;
Putri;Sisa 1 kamar;Kost Singgahsini Tegal Parang Tipe B Mampang Prapatan Jakarta Selatan;Kecamatan Mampang Prapatan;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;4.9;Diskon 250rb sewa 3 bulan;Rp2.875.000;/bulan;
Campur;Sisa 1 kamar;Kost Singgahsini Beranda Zen Tipe B Mampang Prapatan Jakarta Selatan;Kecamatan Mampang Prapatan;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;4.8;Diskon 400rb sewa 3 bulan;Rp3.735.000;/bulan;
Campur;Sisa 2 kamar;Kost Singgahsini Nathan Kemang Utara Tipe B Mampang Prapatan Jakarta Selatan;Mampang Prapatan;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;4.4;Diskon 200rb;Rp2.925.000;Rp2.725.000;(Bulan pertama)
Campur;Sisa 1 kamar;Kost Singgahsini Attahiriyah Pejaten Tipe A Pasar Minggu Jakarta Selatan;Pasar Minggu;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;4.9;Diskon 75rb;Rp2.005.000;Rp1.930.000;(Bulan pertama)
Campur;Kost Singgahsini RR Mansion Tipe D Pancoran Jakarta Selatan;Pancoran;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;Diskon 200rb;Rp3.925.000;Rp3.725.000;(Bulan pertama);;
Campur;Sisa 2 kamar;Kost Singgahsini RR Mansion Tipe E Pancoran Jakarta Selatan;Pancoran;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;5.0;Diskon 150rb;Rp3.625.000;Rp3.475.000;(Bulan pertama)
Campur;Sisa 3 kamar;Kost Singgahsini RR Mansion Tipe C Pancoran Jakarta Selatan;Pancoran;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;Diskon 200rb;Rp4.275.000;Rp4.075.000;(Bulan pertama);
Campur;Sisa 2 kamar;Kost Singgahsini RR Mansion Tipe B Pancoran Jakarta Selatan;Pancoran;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;Diskon 200rb;Rp4.475.000;Rp4.275.000;(Bulan pertama);
Campur;Sisa 1 kamar;Kost Singgahsini Vit Tipe B Mampang Prapatan Jakarta Selatan;Mampang Prapatan;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;Diskon 200rb;Rp3.825.000;Rp3.625.000;(Bulan pertama);
