Nama Kos,Alamat Kos,Fasilitas,Harga
Kost Apik Pondok Jaya VIII Tipe C Mampang Prapatan Jakarta Selatan,Mampang Prapatan,"WiFi ·Kloset Duduk ·Kasur ·Akses 24 Jam
4.5",Diskon 200rb sewa 3 bulan
Kost Singgahsini Kemang Timur Syariah Tipe B Mampang Prapatan Jakarta Selatan,Kecamatan Mampang Prapatan,"K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam
4.6",Rp1.325.000
Kost Apik Evy Kalibata Utara Tipe A Pancoran Jakarta Selatan,Pancoran,"K. Mandi Dalam ·WiFi ·Kasur ·Akses 24 Jam
4.9",Diskon 200rb sewa 3 bulan
Kost Singgahsini Richie Bangka Barat IV Tipe A Mampang Prapatan Jakarta Selatan,Mampang Prapatan,"K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam
4.9",Rp1.925.000
Kost Singgahsini Beranda Zen Tipe B Mampang Prapatan Jakarta Selatan,Kecamatan Mampang Prapatan,"K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam
4.8",Diskon 200rb sewa 3 bulan
Kost Singgahsini Tegal Parang Tipe B Mampang Prapatan Jakarta Selatan,Kecamatan Mampang Prapatan,"K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam
4.9",Rp1.375.000
Kost Singgahsini Nathan Kemang Utara Tipe B Mampang Prapatan Jakarta Selatan,Mampang Prapatan,"K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam
4.4",Diskon 250rb sewa 3 bulan
Kost Singgahsini Attahiriyah Pejaten Tipe A Pasar Minggu Jakarta Selatan,Pasar Minggu,"K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam
4.9",Rp2.225.000
Kost Singgahsini RR Mansion Tipe E Pancoran Jakarta Selatan,Pancoran,"K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam
5.0",Diskon 400rb sewa 3 bulan
Kost Singgahsini RR Mansion Tipe D Pancoran Jakarta Selatan,Pancoran,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,Rp3.735.000
Kost Singgahsini RR Mansion Tipe C Pancoran Jakarta Selatan,Pancoran,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,Diskon 250rb sewa 3 bulan
Kost Singgahsini RR Mansion Tipe B Pancoran Jakarta Selatan,Pancoran,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,Rp2.875.000
